time,wind_speed,wind_direction,nacellePosition,nacelle position logs
469,6.5,48.3,44.55,48.3
470,5.8,40.3,44.55,48.3
471,5.8,30.3,44.55,48.3
472,6.3,45.3,44.55,48.3
473,6.4,36.3,44.55,48.3
474,6.2,13.3,44.55,48.3
475,6.1,26.3,44.55,48.3
476,6.5,33.3,44.55,48.3
477,6.2,28.3,44.55,48.3
478,6.8,49.3,44.55,48.3
479,7,13.3,44.55,48.3
480,6.7,10.3,44.55,48.3
481,6.4,69.3,44.55,48.3
482,6.2,59.3,44.55,48.3
483,6.1,41.3,44.55,48.3
484,6.3,54.3,44.55,48.3
485,6.7,69.3,44.55,48.3
486,7.1,77.3,44.55,48.3
487,6.7,43.3,44.55,48.3
488,7.1,69.3,44.55,48.3
489,7.5,23.3,44.55,48.3
490,7.2,-1.7,44.55,48.3
491,6.3,57.3,44.55,48.3
492,6.2,52.3,44.55,48.3
493,7.4,52.3,44.55,48.3
494,6.6,74.3,44.55,48.3
495,6.2,59.3,44.55,48.3
496,6.4,53.3,44.55,48.3
497,6.6,20.3,44.55,48.3
498,6.4,37.3,44.55,48.3
499,6.2,76.3,44.55,48.3
500,5.8,54.3,44.55,48.3
501,5.5,35.3,44.491,48.3
502,6.5,47.3,44.268,48.3
503,6.6,84.3,43.94,48.3
504,6.8,43.3,43.61,48.3
505,6.7,28.3,43.28,48.3
506,6.4,64.3,42.95,48.3
507,6.9,47.3,42.62,48.3
508,6.9,35.3,42.29,48.3
509,6.8,43.3,41.96,48.3
510,6.4,28.3,41.63,48.3
511,6.7,51.3,41.3,48.3
512,7.1,23.3,40.97,48.3
513,6.9,40.3,40.664,48.3
514,6.3,47.3,40.508,48.3
515,6,28.3,40.491,48.3
516,5.6,47.3,40.491,48.3
517,5.8,31.3,40.491,48.3
518,5.7,35.3,40.491,48.3
519,5.3,33.3,40.491,48.3
520,5.2,79.3,40.491,48.3
521,5.7,33.3,40.491,48.3
522,6.3,54.3,40.491,48.3
523,6.2,54.3,40.491,48.3
524,6.5,64.3,40.491,48.3
525,5.9,28.3,40.491,48.3
526,6,49.3,40.491,48.3
527,6.1,54.3,40.491,48.3
528,6.9,40.3,40.491,48.3
529,6.8,20.3,40.491,48.3
530,6.4,10.3,40.491,48.3
531,6.8,83.3,40.491,48.3
532,6.4,37.3,40.491,48.3
533,6.1,71.3,40.491,48.3
534,6.4,47.3,40.491,48.3
535,7.1,72.3,40.491,48.3
536,6.8,54.3,40.491,48.3
537,6,59.3,40.491,48.3
538,5.7,40.3,40.491,48.3
539,6.6,37.3,40.491,48.3
540,7.4,35.3,40.491,48.3
541,8,18.3,40.491,48.3
542,7.7,62.3,40.491,48.3
543,6.7,-10.7,40.491,48.3
544,5.8,45.3,40.491,48.3
545,5.8,30.3,40.491,48.3
546,6.5,35.3,40.491,48.3
547,6.8,23.3,40.491,48.3
548,6.8,26.3,40.491,48.3
549,6.7,57.3,40.491,48.3
550,6.8,21.3,40.491,48.3
551,6.8,52.3,40.491,48.3
552,7,54.3,40.491,48.3
553,7,76.3,40.491,48.3
554,6.7,45.3,40.491,48.3
555,6.1,28.3,40.491,48.3
556,6.9,45.3,40.491,48.3
557,6.6,20.3,40.491,48.3
558,6.6,42.3,40.491,48.3
559,6.5,64.3,40.491,48.3
560,6.8,25.3,40.491,48.3
561,6.5,40.3,40.491,48.3
562,6.2,84.3,40.491,48.3
563,6.1,52.3,40.491,48.3
564,6.4,49.3,40.491,48.3
565,6.9,52.3,40.491,48.3
566,7,-23.7,40.491,48.3
567,6.5,28.3,40.491,48.3
568,5.9,20.3,40.491,48.3
569,6.4,56.3,40.491,48.3
570,6.1,28.3,40.491,48.3
571,6.2,56.3,40.491,48.3
572,5.9,51.3,40.491,48.3
573,5.5,30.3,40.491,48.3
574,5.8,35.3,40.491,48.3
575,6.1,76.3,40.491,48.3
576,6,59.3,40.491,48.3
577,5.8,15.3,40.491,48.3
578,6.1,45.3,40.491,48.3
579,6.3,33.3,40.491,48.3
580,7,38.3,40.491,48.3
581,6.8,54.3,40.491,48.3
582,6.9,-1.7,40.491,48.3
583,7.1,47.3,40.491,48.3
584,7,31.3,40.491,48.3
585,6.7,20.3,40.491,48.3
586,6,6.3,40.491,48.3
587,6.7,28.3,40.491,48.3
588,7.4,59.3,40.491,48.3
589,6.2,111.3,40.491,48.3
590,6.1,23.3,40.491,48.3
591,6.3,71.3,40.491,48.3
592,5.6,71.3,40.491,48.3
593,6.3,45.3,40.491,48.3
594,6.6,35.3,40.491,48.3
595,6.5,66.3,40.491,48.3
596,6.7,38.3,40.491,48.3
597,6.6,5.3,40.491,48.3
598,5.9,45.3,40.491,48.3
599,6.2,37.3,40.491,48.3
600,6.6,36.3,40.491,48.3
601,7.3,59.3,40.491,48.3
602,7.3,64.3,40.491,48.3
603,6.7,45.3,40.491,48.3
604,6.5,69.3,40.491,48.3
605,5.9,56.3,40.491,48.3
606,6,33.3,40.491,48.3
607,6.2,25.3,40.491,48.3
608,6.1,15.3,40.491,48.3
609,6.7,64.3,40.491,48.3
610,6.9,28.3,40.491,48.3
611,6.6,39.7,40.491,47.7
612,6.2,50.2,40.491,47.2
613,6.6,57.1,40.491,46.1
614,7.6,36.1,40.491,46.1
615,7.2,37.5,40.491,45.5
616,6.5,30,40.491,45
617,6.8,62.5,40.491,44.5
618,6.5,44.9,40.491,43.9
619,6.5,44.4,40.491,43.4
620,7,56.4,40.491,43.4
621,7.2,49.4,40.491,43.4
622,7,91.4,40.491,43.4
623,7,37.4,40.491,43.4
624,6.5,54.4,40.491,43.4
625,5.5,66.4,40.491,43.4
626,6,49.4,40.491,43.4
627,5.6,3.4,40.491,43.4
628,5.6,74.4,40.491,43.4
629,5.9,40.4,40.491,43.4
630,6.7,8.4,40.491,43.4
631,6.9,43.4,40.491,43.4
632,6.7,59.4,40.491,43.4
633,6.4,49.4,40.491,43.4
634,6.3,94.4,40.491,43.4
635,7.1,81.4,40.491,43.4
636,7,44.4,40.491,43.4
637,6.7,28.4,40.491,43.4
638,6.8,46.4,40.491,43.4
639,7.2,49.4,40.491,43.4
640,7.2,66.4,40.491,43.4
641,6.4,23.4,40.491,43.4
642,6.2,20.4,40.491,43.4
643,6.5,52.4,40.491,43.4
644,7.1,51.4,40.491,43.4
645,7.6,71.4,40.491,43.4
646,7.2,64.4,40.491,43.4
647,5.5,33.4,40.491,43.4
648,5.6,54.4,40.491,43.4
649,6.4,30.4,40.491,43.4
650,7,59.4,40.491,43.4
651,7.4,68.4,40.491,43.4
652,8,43.4,40.491,43.4
653,7.2,25.4,40.491,43.4
654,6.2,43.4,40.491,43.4
655,5.3,52.4,40.491,43.4
656,5.5,18.4,40.491,43.4
657,6.1,46.4,40.491,43.4
658,5.5,18.4,40.491,43.4
659,5.3,64.4,40.491,43.4
660,6.1,73.4,40.491,43.4
661,6.6,42.4,40.491,43.4
662,6.3,59.4,40.491,43.4
663,6.3,91.4,40.491,43.4
664,6.7,23.4,40.491,43.4
665,6.4,74.4,40.491,43.4
666,6.4,49.4,40.491,43.4
667,6.9,40.4,40.491,43.4
668,6.8,67.4,40.491,43.4
669,7.4,25.4,40.491,43.4
670,6.9,79.4,40.491,43.4
671,6.8,30.4,40.491,43.4
672,6.5,61.4,40.491,43.4
673,6.1,18.4,40.491,43.4
674,6,64.4,40.491,43.4
675,5.5,72.4,40.491,43.4
676,4.9,49.4,40.491,43.4
677,4.8,62.4,40.491,43.4
678,5,82.4,40.491,43.4
679,5.9,27.4,40.491,43.4
680,6.1,28.4,40.491,43.4
681,6.2,28.4,40.491,43.4
682,6.8,13.4,40.491,43.4
683,5.9,23.4,40.491,43.4
684,5.8,40.4,40.491,43.4
685,6.1,86.4,40.491,43.4
686,6.5,54.4,40.491,43.4
687,6.2,51.4,40.491,43.4
688,6.9,61.4,40.491,43.4
689,6.4,-8.6,40.491,43.4
690,5.9,40.4,40.491,43.4
691,6.8,47.4,40.491,43.4
692,7.1,30.4,40.491,43.4
693,6,47.4,40.491,43.4
694,5.8,40.4,40.491,43.4
695,6.6,67.4,40.491,43.4
696,6.8,81.4,40.491,43.4
697,6.4,35.4,40.491,43.4
698,6.5,40.4,40.491,43.4
699,6.5,79.4,40.491,43.4
700,6.2,79.4,40.491,43.4
701,6,23.4,40.491,43.4
702,5.6,47.4,40.491,43.4
703,6.2,49.4,40.491,43.4
704,7.8,13.4,40.491,43.4
705,7.1,51.4,40.491,43.4
706,6.4,71.4,40.491,43.4
707,7.1,87.4,40.491,43.4
708,7.7,51.4,40.491,43.4
709,7.8,13.4,40.491,43.4
710,6.9,33.4,40.491,43.4
711,6.9,51.4,40.491,43.4
712,7.3,49.4,40.491,43.4
713,7.5,30.4,40.491,43.4
714,7.1,72.4,40.491,43.4
715,6.5,35.4,40.491,43.4
716,6.4,51.4,40.491,43.4
717,6.9,38.4,40.491,43.4
718,7.3,3.4,40.491,43.4
719,6.4,1.4,40.491,43.4
720,5.5,46.4,40.491,43.4
721,5.4,49.4,40.491,43.4
722,5.7,76.4,40.491,43.4
723,6.6,46.4,40.491,43.4
724,7.1,40.4,40.491,43.4
725,6.9,69.4,40.491,43.4
726,7.6,30.4,40.491,43.4
727,7.7,49.4,40.491,43.4
728,7.7,86.4,40.491,43.4
729,8.6,66.4,40.491,43.4
730,8.1,61.4,40.491,43.4
731,6.9,54.4,40.491,43.4
732,6.9,81.4,40.491,43.4
733,7.7,40.4,40.491,43.4
734,6.9,30.4,40.491,43.4
735,6.2,57.4,40.491,43.4
736,6.2,49.4,40.491,43.4
737,6.3,62.4,40.491,43.4
738,6.1,23.4,40.491,43.4
739,6.6,28.4,40.491,43.4
740,7.2,59.4,40.491,43.4
741,6.8,74.4,40.491,43.4
742,6.4,66.4,40.491,43.4
743,5.8,72.4,40.491,43.4
744,5.5,40.4,40.491,43.4
745,5.6,35.4,40.491,43.4
746,6.2,40.4,40.491,43.4
747,7,20.4,40.491,43.4
748,7.1,30.4,40.491,43.4
749,6.7,59.4,40.491,43.4
750,6,71.4,40.491,43.4
751,5.5,62.4,40.491,43.4
752,5.9,15.4,40.491,43.4
753,6.3,28.4,40.491,43.4
754,7.1,25.4,40.491,43.4
755,6.5,40.4,40.491,43.4
756,6.5,35.4,40.491,43.4
757,6.4,35.4,40.491,43.4
758,6.7,18.4,40.491,43.4
759,6.7,38.4,40.491,43.4
760,6.1,40.4,40.491,43.4
761,5.7,69.4,40.491,43.4
762,6,23.4,40.491,43.4
763,6.3,18.4,40.491,43.4
764,6.4,69.4,40.491,43.4
765,5.6,40.4,40.491,43.4
766,5.5,46.4,40.491,43.4
767,6,37.4,40.491,43.4
768,6.2,38.4,40.491,43.4
769,5.9,32.4,40.491,43.4
770,6.5,30.4,40.491,43.4
771,7.3,61.4,40.491,43.4
772,7.2,59.4,40.491,43.4
773,6.7,51.4,40.491,43.4
774,6.3,54.4,40.491,43.4
775,6.5,32.4,40.491,43.4
776,6.3,23.4,40.491,43.4
777,6.4,69.4,40.491,43.4
778,6.4,46.4,40.491,43.4
