time,wind_speed,wind_direction,nacellePosition,nacelle position logs
704,6.6,92.1,52.074,46.1
705,6.8,69.1,52.074,46.1
706,6.1,36.1,52.074,46.1
707,5.4,46.1,52.074,46.1
708,5.9,3.1,52.074,46.1
709,6.5,54.1,52.074,46.1
710,7,3.1,52.074,46.1
711,6.5,31.1,52.074,46.1
712,6.2,57.1,52.074,46.1
713,6.3,97.1,52.074,46.1
714,5.9,11.1,52.074,46.1
715,5.5,33.1,52.074,46.1
716,5.9,-1.9,52.074,46.1
717,5.8,52.1,52.074,46.1
718,6.2,62.1,52.074,46.1
719,6.8,38.1,52.074,46.1
720,6.8,52.1,52.074,46.1
721,6.5,23.1,52.074,46.1
722,6.3,74.1,52.074,46.1
723,6.4,59.1,52.074,46.1
724,6.6,18.1,52.074,46.1
725,6.3,26.1,52.074,46.1
726,5.7,36.1,52.074,46.1
727,6.3,16.1,52.074,46.1
728,6.5,26.1,52.074,46.1
729,6.5,92.1,52.074,46.1
730,6.6,46.1,52.074,46.1
731,6.2,54.1,52.074,46.1
732,6.1,43.1,52.074,46.1
733,5.8,40.1,52.074,46.1
734,6,52.1,52.074,46.1
735,5.8,119.1,52.074,46.1
736,5.9,-13.9,52.074,46.1
737,5.8,28.1,52.074,46.1
738,6.1,49.1,52.074,46.1
739,6.3,16.1,52.074,46.1
740,6.5,62.1,52.074,46.1
741,6.3,79.1,52.074,46.1
742,7,92.1,52.074,46.1
743,6.8,36.1,52.074,46.1
744,6.3,43.1,52.074,46.1
745,6.4,31.1,52.074,46.1
746,6.9,49.1,52.074,46.1
747,6.8,40.1,52.074,46.1
748,6.2,26.1,52.074,46.1
749,5.8,38.1,52.074,46.1
750,5.6,47.1,52.074,46.1
751,5.9,43.1,52.074,46.1
752,6.2,74.1,52.074,46.1
753,6.2,43.1,52.074,46.1
754,6.7,38.1,52.074,46.1
755,6.3,26.1,52.074,46.1
756,6,16.1,52.074,46.1
757,6,-3.9,52.074,46.1
758,5.7,59.1,52.074,46.1
759,6,82.1,52.074,46.1
760,6.2,41.1,52.074,46.1
761,6.8,16.1,52.074,46.1
762,6.7,82.1,52.074,46.1
763,6.6,69.1,52.074,46.1
764,6.3,21.1,52.074,46.1
765,5.8,67.1,52.074,46.1
766,5.4,69.1,52.074,46.1
767,5.7,38.1,52.074,46.1
768,6,62.1,52.074,46.1
769,5.8,64.1,52.074,46.1
770,6.3,82.1,52.074,46.1
771,6.7,-13.9,52.074,46.1
772,6.2,21.1,52.074,46.1
773,5.8,64.1,52.074,46.1
774,6.2,52.1,52.074,46.1
775,6.1,46.1,52.074,46.1
776,5.9,59.1,52.074,46.1
777,6.1,46.1,52.074,46.1
